Company,TypeName,Inches,ScreenResolution,Cpu,Gpu,OpSys,TouchScreen,Ips,X_res,Y_res,ppi,Dedicated_Gpu,Ram_GB,Weight_kg,SSD,HHD,Storage_Type,Total_Storage_GB,Storage_Category,Price
MSI,MSI Stealth A16 AI+,16,2560 x 1600,AMD Ryzen AI 9 HX 370,NVIDIA GeForce RTX 5070 Ti (Laptop),Windows,0,0,2560,1600,188.68,1,32,2.1,2000,0,SSD Only,2000,High (1-2TB),2288.8
ASUS,ASUS VivoBook 15 F512,15.6,Full HD (1080p),AMD Ryzen 3 3250U,AMD Radeon RX Vega 3,Windows,0,0,1920,1080,141.21,1,8,1.75,256,0,SSD Only,256,Basic (256-512GB),1348
Huawei,Huawei MateBook D 16,16,1920 x 1200,AMD Ryzen 5 4600H,"AMD Radeon RX Vega 6 (R4000/5000, 35/45W)",Windows,1,1,1920,1200,141.51,1,16,1.7,512,0,SSD Only,512,Standard (512GB-1TB),1571.2
Apple,Apple MacBook Pro 13,13.3,2560 x 1600,Intel Core i5-1038NG7,Intel Iris Plus Graphics G7,macOS,1,1,2560,1600,226.98,0,16,1.4,1000,0,SSD Only,1000,Standard (512GB-1TB),1487.8
Lenovo,Lenovo Legion Slim 5,14.5,2880 x 1800,AMD Ryzen 7 7840HS,"NVIDIA GeForce RTX 4050 (Laptop, 105W)",Windows,0,0,2880,1800,234.22,1,16,1.75,512,0,SSD Only,512,Standard (512GB-1TB),1626.2
Apple,Apple MacBook Air 15,15.3,2880 x 1864,Apple M4 (10-core CPU),Apple M4 (10-core GPU),macOS,1,1,2880,1864,224.22,1,24,1.51,512,0,SSD Only,512,Standard (512GB-1TB),1710.2
Dell,Dell Latitude 13 5350,13.3,Full HD (1080p),Intel Core Ultra 7 165U,Intel Graphics (4-Cores),Windows,1,1,1920,1080,165.63,0,16,1.23,512,0,SSD Only,512,Standard (512GB-1TB),1390.2
Lenovo,Lenovo ThinkPad X1 Carbon,14,1920 x 1200,Intel Core Ultra 5 135U,Intel Graphics (4-Cores),Windows,1,1,1920,1200,161.73,0,16,1.08,512,0,SSD Only,512,Standard (512GB-1TB),1411.2
Acer,Acer Aspire Go 15,15.6,Full HD (1080p),Intel Core 5 120U,Intel Iris Xe Graphics G7 (80EU),Windows,0,0,1920,1080,141.21,0,32,1.53,1000,0,SSD Only,1000,Standard (512GB-1TB),1776.8
ASUS,ASUS TUF Gaming A18 FA808,18,1920 x 1200,AMD Ryzen 7 260,NVIDIA GeForce RTX 5050 (Laptop),Windows,1,1,1920,1200,125.79,1,16,2.6,512,0,SSD Only,512,Standard (512GB-1TB),1631.2
ASUS,ASUS ExpertBook B5,14,Full HD (1080p),Intel Core i7-1195G7,Intel Iris Xe Graphics G7 (96EU),Windows,1,1,1920,1080,157.35,0,32,1.25,512,0,SSD Only,512,Standard (512GB-1TB),1731.2
HP,HP ZBook X G1i,16,2560 x 1600,Intel Core Ultra 7 265H,NVIDIA RTX PRO 500 Blackwell,Windows,1,1,2560,1600,188.68,1,32,2.04,1000,0,SSD Only,1000,Standard (512GB-1TB),2088.8
HP,HP EliteBook 8 G1i,13.3,1920 x 1200,Intel Core Ultra 5 225U,Intel Graphics (4-Cores),Windows,1,1,1920,1200,170.24,0,16,1.28,512,0,SSD Only,512,Standard (512GB-1TB),1390.2
Dell,Dell Pro 16 Plus,16,1920 x 1200,AMD Ryzen AI 5 340,AMD Radeon 840M,Windows,1,1,1920,1200,141.51,1,16,1.86,512,0,SSD Only,512,Standard (512GB-1TB),1571.2
Dell,Dell Pro 14,14,1920 x 1200,Intel Core 5 120U,Intel Iris Xe Graphics G7 (80EU),Windows,1,1,1920,1200,161.73,0,8,1.36,512,0,SSD Only,512,Standard (512GB-1TB),1251.2
Dell,Dell Pro 14 Plus,14,1920 x 1200,AMD Ryzen AI 7 PRO 350,AMD Radeon 860M,Windows,1,1,1920,1200,161.73,1,32,1.43,512,0,SSD Only,512,Standard (512GB-1TB),1931.2
Dell,Dell Pro 15 Essential,15.6,Full HD (1080p),AMD Ryzen 3 7320U,AMD Radeon 610M,Windows,1,1,1920,1080,141.21,1,8,1.9,512,0,SSD Only,512,Standard (512GB-1TB),1399.2
Dell,Dell Pro 14 Essential,14,1920 x 1200,AMD Ryzen AI 5 330,AMD Radeon 820M,Windows,1,1,1920,1200,161.73,1,16,1.54,512,0,SSD Only,512,Standard (512GB-1TB),1611.2
Dell,Dell Pro 13 Plus,13.3,1920 x 1200,Intel Core Ultra 7 268V,Intel Arc Graphics 140V,Windows,1,1,1920,1200,170.24,1,32,1.23,512,0,SSD Only,512,Standard (512GB-1TB),1910.2
